id_resultat,id_resultat_source,source,id_athlete_base_resultats,id_personne,athlete_nom,athlete_prenom,id_equipe,equipe_en,id_pays,pays_en_base_resultats,classement_epreuve,performance_finale_texte,performance_finale,id_evenement,evenement,evenement_en,categorie_age,id_edition,id_competition_sport,competition_en,id_type_competition,type_competition,edition_saison,date_debut_edition,date_fin_edition,id_ville_edition,edition_ville_en,id_nation_edition_base_resultats,edition_nation_en,id_sport,sport,sport_en,id_discipline_administrative,discipline_administrative,id_specialite,specialite,id_epreuve,epreuve,epreuve_genre,epreuve_type,est_epreuve_individuelle,est_epreuve_olympique,est_epreuve_ete,est_epreuve_handi,epreuve_sens_resultat,id_federation,federation,federation_nom_court,dt_creation,dt_modification
6045706,600707072,infostrada,NULL,NULL,NULL,NULL,921,China,46,China,9,NULL,NULL,162415,Team - Women,Team - Women,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,896099,Par équipes - Femmes,Femmes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045707,600707073,infostrada,NULL,NULL,NULL,NULL,641,Japan,118,Japan,6,NULL,NULL,162415,Team - Women,Team - Women,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,896099,Par équipes - Femmes,Femmes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045708,600707074,infostrada,NULL,NULL,NULL,NULL,486,Switzerland,207,Switzerland,4,NULL,NULL,162415,Team - Women,Team - Women,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,896099,Par équipes - Femmes,Femmes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045709,600707075,infostrada,NULL,NULL,NULL,NULL,196999,ROC,387,Russian Olympic Committee,5,NULL,NULL,162415,Team - Women,Team - Women,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,896099,Par équipes - Femmes,Femmes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045710,600707076,infostrada,NULL,NULL,NULL,NULL,408,Finland,74,Finland,3,NULL,NULL,162415,Team - Women,Team - Women,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,896099,Par équipes - Femmes,Femmes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045711,600707077,infostrada,NULL,NULL,NULL,NULL,353,Canada,40,Canada,1,NULL,NULL,162415,Team - Women,Team - Women,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,896099,Par équipes - Femmes,Femmes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045712,600707078,infostrada,NULL,NULL,NULL,NULL,110,United States,233,United States,2,NULL,NULL,162415,Team - Women,Team - Women,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,896099,Par équipes - Femmes,Femmes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045713,600707093,infostrada,NULL,NULL,NULL,NULL,227,Latvia,127,Latvia,11,NULL,NULL,162414,Team - Men,Team - Men,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,889202,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045714,600707094,infostrada,NULL,NULL,NULL,NULL,676,Slovakia,209,Slovakia,3,NULL,NULL,162414,Team - Men,Team - Men,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,889202,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045715,600707095,infostrada,NULL,NULL,NULL,NULL,840,Sweden,211,Sweden,4,NULL,NULL,162414,Team - Men,Team - Men,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,889202,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045716,600707096,infostrada,NULL,NULL,NULL,NULL,491,Finland,74,Finland,1,NULL,NULL,162414,Team - Men,Team - Men,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,889202,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045717,600707097,infostrada,NULL,NULL,NULL,NULL,406,Denmark,60,Denmark,7,NULL,NULL,162414,Team - Men,Team - Men,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,889202,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045718,600707098,infostrada,NULL,NULL,NULL,NULL,312,Switzerland,207,Switzerland,8,NULL,NULL,162414,Team - Men,Team - Men,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,889202,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045719,600707099,infostrada,NULL,NULL,NULL,NULL,386,Czech Republic,59,Czech Republic,9,NULL,NULL,162414,Team - Men,Team - Men,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,889202,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045720,600707100,infostrada,NULL,NULL,NULL,NULL,192623,ROC,387,Russian Olympic Committee,2,NULL,NULL,162414,Team - Men,Team - Men,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,889202,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045721,600707101,infostrada,NULL,NULL,NULL,NULL,780,China,46,China,12,NULL,NULL,162414,Team - Men,Team - Men,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,889202,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045722,600707102,infostrada,NULL,NULL,NULL,NULL,154,Germany,87,Germany,10,NULL,NULL,162414,Team - Men,Team - Men,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,889202,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045723,600707103,infostrada,NULL,NULL,NULL,NULL,204,United States,233,United States,5,NULL,NULL,162414,Team - Men,Team - Men,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,889202,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045724,600707104,infostrada,NULL,NULL,NULL,NULL,182,Canada,40,Canada,6,NULL,NULL,162414,Team - Men,Team - Men,Senior,45807,175,Olympic Games,2,JO Hiver,2022,03/02/2022,20/02/2022,1494,Beijing,72,China,63,Hockey sur Glace,Ice Hockey,187,Hockey sur glace,251,Hockey sur glace,889202,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138198,600712844,infostrada,NULL,NULL,NULL,NULL,541,Canada,40,Canada,3,NULL,NULL,162416,Team - Men,Team - Men,Senior,45827,204,Olympic Games,2,JO Hiver,2022,02/02/2022,20/02/2022,1494,Beijing,72,China,20,Curling,Curling,118,Curling,323,Curling,237,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,80,Fédération Française des Sports de Glace,SPORTS DE GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138199,600712845,infostrada,NULL,NULL,NULL,NULL,842,United States,233,United States,4,NULL,NULL,162416,Team - Men,Team - Men,Senior,45827,204,Olympic Games,2,JO Hiver,2022,02/02/2022,20/02/2022,1494,Beijing,72,China,20,Curling,Curling,118,Curling,323,Curling,237,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,80,Fédération Française des Sports de Glace,SPORTS DE GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138200,600712846,infostrada,NULL,NULL,NULL,NULL,201048,ROC,387,Russian Olympic Committee,8,NULL,NULL,162416,Team - Men,Team - Men,Senior,45827,204,Olympic Games,2,JO Hiver,2022,02/02/2022,20/02/2022,1494,Beijing,72,China,20,Curling,Curling,118,Curling,323,Curling,237,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,80,Fédération Française des Sports de Glace,SPORTS DE GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138201,600712847,infostrada,NULL,NULL,NULL,NULL,585,Switzerland,207,Switzerland,7,NULL,NULL,162416,Team - Men,Team - Men,Senior,45827,204,Olympic Games,2,JO Hiver,2022,02/02/2022,20/02/2022,1494,Beijing,72,China,20,Curling,Curling,118,Curling,323,Curling,237,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,80,Fédération Française des Sports de Glace,SPORTS DE GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138202,600712848,infostrada,NULL,NULL,NULL,NULL,240,Great Britain,82,Great Britain,2,NULL,NULL,162416,Team - Men,Team - Men,Senior,45827,204,Olympic Games,2,JO Hiver,2022,02/02/2022,20/02/2022,1494,Beijing,72,China,20,Curling,Curling,118,Curling,323,Curling,237,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,80,Fédération Française des Sports de Glace,SPORTS DE GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138203,600712849,infostrada,NULL,NULL,NULL,NULL,302,Sweden,211,Sweden,1,NULL,NULL,162416,Team - Men,Team - Men,Senior,45827,204,Olympic Games,2,JO Hiver,2022,02/02/2022,20/02/2022,1494,Beijing,72,China,20,Curling,Curling,118,Curling,323,Curling,237,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,80,Fédération Française des Sports de Glace,SPORTS DE GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138204,600712850,infostrada,NULL,NULL,NULL,NULL,954,China,46,China,5,NULL,NULL,162416,Team - Men,Team - Men,Senior,45827,204,Olympic Games,2,JO Hiver,2022,02/02/2022,20/02/2022,1494,Beijing,72,China,20,Curling,Curling,118,Curling,323,Curling,237,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,80,Fédération Française des Sports de Glace,SPORTS DE GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
